,name,city,country,passengers,lng,lat
0,Heathrow Airport,London,United Kingdom,80886589,-0.1276474,51.5073219
1,Charles de Gaulle Airport,Paris,France,76150007,2.3514616,48.8566969
2,Amsterdam Airport Schiphol,Amsterdam,Netherlands,71707144,4.8936041,52.3727598
3,Frankfurt am Main Airport,Frankfurt,Germany,70556072,8.6820917,50.1106444
4,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,61734037,-3.7035825,40.4167047
5,Josep Tarradellas Barcelona–El Prat Airport,Barcelona,Spain,52686314,2.1774322,41.3828939
6,Istanbul Airport,Istanbul,Turkey,52578008,28.9651646,41.0096334
7,Sheremetyevo International Airport,Moscow,Russia,49438545,37.6174943,55.7504461
8,Munich Airport,Munich,Germany,47941348,11.5753822,48.1371079
9,Gatwick Airport,London,United Kingdom,46574786,-0.1276474,51.5073219
10,Leonardo da Vinci–Fiumicino Airport,Rome,Italy,43532573,12.4829321,41.8933203
11,Dublin Airport,Dublin,Ireland,32907673,-6.2602732,53.3497645
12,Orly Airport,Paris,France,31853049,2.3514616,48.8566969
13,Vienna International Airport,Vienna,Austria,31662189,16.3725042,48.2083537
14,Zurich Airport,Zürich,Switzerland,31507692,8.5410422,47.3744489
15,Lisbon Airport,Lisbon,Portugal,31173000,-9.1365919,38.7077507
16,Copenhagen Airport,Copenhagen,Denmark,30256703,12.5700724,55.6867243
17,Palma de Mallorca Airport,"Palma, Majorca",Spain,29721123,2.6496704,39.5691163
18,Manchester Airport,Manchester,United Kingdom,29367477,-2.2451148,53.4794892
19,Malpensa Airport,Milan,Italy,28846299,9.1905,45.4668
